"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
1285,678662,"Tovar, Ezequiel",2528,50.8,0.296,0.226,0.351,0.523,0.345,0.3,0.257,157,530,89.2,19.7,2274,89.1,89.62,409,1285,0,0.5,6.41,106,150,115,147,308,328,292,"4.2","-4.2","71.3","7.5",534,405,87,43,4,23,129,24.2,0,0,2.37539,0.51775,0.23516,0.005,"91.4",182,40.74074074074074,9.382716049382717,7.116104868913857,5.77,-0.7,0.2,2.24,0.294,38,"-0.329805447",0.256,0.447,"0.329805447",0.039,0.03799999999999998,0.076,0.045,31.8,"38.0"
1239,621566,"Olson, Matt",2947,42,0.26,0.222,0.284,0.482,0.311,0.325,0.268,124,477,92.3,17.5,2245,90.4,90.87,326,1239,0,0.5,6.52,115,146,130,151,303,329,304,"24.1","-24.1","73.8","7.3",482,373,69,29,1,25,109,22.6,0,0,2.13231,0.69253,0.40649,-0.15054,"92.5",181,49.32975871313673,13.404825737265416,10.37344398340249,5.83,-0.88,0.1,2.46,0.257,50,"-1.943664245",0.268,0.494,"1.943664245",-0.008,-0.01100000000000001,-0.012,-0.014,26.3,"38.0"
1185,642715,"Adames, Willy",2733,43.4,0.292,0.254,0.31,0.546,0.354,0.345,0.279,147,504,89.5,21.2,2292,90.4,90.81,324,1185,0,0.3999999999999915,6.49,107,150,120,145,304,322,293,"-5","5","73.6","8.1",506,403,83,32,0,32,103,20.4,0,0,2.12231,0.69691,0.37419,0.14086,"91.8",175,42.4317617866005,12.903225806451612,10.276679841897234,5.76,-0.81,0,2.46,0.291,52,"0.42464135",0.278,0.537,"-0.42464135",0.013,0.012999999999999956,0.009,0.009,27.3,"39.5"
1179,623993,"Santander, Anthony",2738,43.1,0.253,0.295,0.222,0.547,0.334,0.31,0.245,126,499,90.4,24.1,2267,89.6,89.85,229,1179,0,0.30000000000001137,6.46,116,147,127,150,300,327,298,"9.2","-9.2","73.1","7.2",503,424,63,20,2,41,79,15.7,0,0,2.26622,0.61204,0.33344,-0.33344,"92.2",175,43.39622641509434,12.5,10.536779324055665,5.72,-0.9,0.01,2.37,0.25,53,"-0.777947413",0.245,0.486,"0.777947413",0.008,0.0050000000000000044,0.061,0.024,19.4,"38.2"
1144,592206,"Castellanos, Nick",2344,48.8,0.262,0.191,0.279,0.453,0.303,0.321,0.284,129,492,88.6,15.3,2275,88.1,88.43,335,1144,0,0.30000000000001137,6.48,108,151,123,147,301,323,290,"21.2","-21.2","71.9","7.6",494,413,77,29,4,19,81,16.4,0,0,2.52227,0.45549,0.1237,-0.06059,"91.5",163,37.530266343825666,8.47457627118644,7.08502024291498,5.84,-0.79,0.16,2.44,0.261,35,"-1.850874126",0.283,0.469,"1.850874126",-0.022,-0.021999999999999964,-0.016,-0.018,29.3,"39.0"
1143,521692,"Perez, Salvador",2301,49.7,0.292,0.199,0.306,0.491,0.33,0.36,0.296,145,497,91.8,19,2278,88.9,89.21,295,1143,0,0.29999999999999716,6.44,108,151,123,146,306,328,301,"4.5","-4.5","73.2","7.9",504,420,94,27,0,24,83,16.5,0,0,2.39152,0.53032,0.22004,0.07824,"92.8",174,46.666666666666664,12.142857142857142,10.119047619047619,5.78,-0.86,0.28,2.32,0.288,51,"-0.396150481",0.293,0.565,"0.396150481",-0.004,-0.0050000000000000044,-0.074,-0.03,25.8,"40.4"
1138,680776,"Duran, Jarren",2844,40,0.302,0.238,0.34,0.54,0.354,0.332,0.291,165,546,90.6,10,2282,89.4,89.65,259,1138,0,0.19999999999998863,6.45,117,146,110,151,281,320,307,"2.9","-2.9","73.6","7.6",549,447,87,46,12,20,102,18.6,0,0,2.29117,0.60718,0.32519,-0.17303,"92.2",160,43.624161073825505,9.843400447427292,8.014571948998178,5.72,-0.76,0,2.39,0.301,44,"-0.251845343",0.29,0.489,"0.251845343",0.011,0.01100000000000001,0.051,0.022,22.8,"38.2"
1135,608070,"Ramírez, José",2735,41.5,0.29,0.28,0.259,0.57,0.359,0.323,0.273,153,528,89.5,20.4,2224,89.1,89.44,144,1135,0,0.30000000000001137,6.46,113,146,125,149,294,323,296,"-11.1","11.1","71.5","7.3",534,485,80,35,1,37,49,9.2,0,0,2.35524,0.54687,0.3485,-0.3485,"92.8",168,40.41237113402062,8.8659793814433,8.05243445692884,5.76,-0.93,-0.1,2.24,0.287,43,"0.980352423",0.273,0.484,"-0.980352423",0.017,0.013999999999999957,0.086,0.036,12.7,"37.8"
1129,660271,"Ohtani, Shohei",2838,39.8,0.347,0.407,0.326,0.754,0.459,0.476,0.357,172,496,96.4,17.5,2254,89.6,89.9,326,1129,0,0.30000000000001137,6.43,118,146,130,152,300,327,307,"-33.8","33.8","76.3","7.7",500,420,81,32,7,52,80,16,0,0,2.3217,0.55265,0.30189,-0.15221,"94.8",179,61.904761904761905,23.095238095238095,19.400000000000002,5.76,-0.69,0.07,2.53,0.344,97,"2.996899911",0.356,0.775,"-2.996899911",-0.01,-0.01200000000000001,-0.021,-0.017,28.9,"37.7"
1125,542303,"Ozuna, Marcell",2875,39.1,0.343,0.263,0.369,0.607,0.402,0.417,0.324,159,463,93.2,15.6,2256,89,89.52,352,1125,0,0.5,6.55,108,151,124,147,309,329,298,"-6.9","6.9","74.0","7.4",466,376,101,26,0,32,90,19.3,0,0,2.38745,0.52275,0.28805,0.06143,"93.2",177,55.58510638297872,16.22340425531915,13.090128755364807,5.79,-0.89,0.05,2.32,0.341,61,"0.609866667",0.325,0.655,"-0.609866667",0.019,0.016000000000000014,-0.048,-0.015,31.3,"38.0"
